Draw Date,Winning Numbers,,,,,Powerball,Power Play
10/15/2016,64,49,57,23,67,20,2
10/12/2016,34,44,30,16,37,16,2
10/08/2016,3,64,68,61,54,9,2
10/05/2016,60,29,18,27,8,15,2
10/01/2016,12,64,50,61,2,1,2
09/28/2016,30,53,62,38,52,1,3
09/24/2016,15,7,29,41,20,22,2
09/21/2016,63,67,1,69,28,17,4
09/17/2016,51,19,9,62,55,14,4
09/14/2016,10,31,23,28,11,14,2
09/10/2016,3,17,49,68,55,8,2
09/07/2016,23,55,33,22,29,21,2
09/03/2016,39,59,7,67,50,25,3
08/31/2016,10,56,24,61,5,12,2
08/27/2016,48,32,63,4,49,20,2
08/24/2016,25,11,9,65,64,16,3
08/20/2016,68,3,21,6,60,24,2
08/17/2016,44,49,33,50,52,8,3
08/13/2016,44,38,64,69,60,6,2
08/10/2016,64,56,61,23,67,12,5
08/06/2016,52,33,47,36,20,12,3
08/03/2016,66,27,11,9,67,2,3
07/30/2016,32,21,17,23,11,5,2
07/27/2016,10,47,68,65,50,24,2
07/23/2016,39,5,35,7,23,11,2
07/20/2016,6,58,66,25,35,5,2
07/16/2016,11,50,40,17,62,26,2
07/13/2016,57,15,29,3,54,10,3
07/09/2016,32,28,10,64,61,12,3
07/06/2016,66,57,2,31,24,18,3
07/02/2016,63,39,59,34,10,4,2
06/29/2016,29,37,23,64,60,6,2
06/25/2016,36,3,56,69,27,25,2
06/22/2016,14,42,43,52,40,17,3
06/18/2016,53,2,23,63,41,11,2
06/15/2016,33,4,24,31,22,10,2
06/11/2016,36,58,27,41,20,7,2
06/08/2016,37,69,12,25,60,20,3
06/04/2016,20,16,43,64,22,17,2
